24.42,,,25.61,,,25.62,,,41.3,,,42.21,,,69.7,,,70.56,,
Jun-29,4,136,Jun-27,0,105,Jun-30,1,232,Jun-29,23,53,Jun-28,33,103,Jun-28,1,1,Jun-26,0,2
Jun-28,0,133,Jun-30,4,112,Jun-29,1,234,Jun-30,23,53,Jun-27,33,99,Jun-27,1,2,,,
Jun-28,0,132,Jun-28,0,107,Jun-29,1,231,Jun-28,20,47,Jun-28,33,102,Jun-27,5,7,,,
Jun-26,0,128,Jun-29,4,110,Jun-27,0,222,Jun-30,20,54,Jun-29,33,104,Jun-29,1,6,,,
Jun-29,2,134,Jun-30,4,111,Jun-28,1,228,Jun-27,20,44,Jun-29,21,105,Jun-30,7,8,,,
Jun-26,0,127,Jun-28,0,108,Jun-28,1,230,03-Jul,21,57,Jun-27,33,100,04-Jul,1,11,,,
Jun-30,0,140,Jun-29,0,109,Jun-29,1,233,03-Jul,20,56,Jun-30,35,107,03-Jul,2,10,,,
Jun-30,4,139,04-Jul,0,119,Jun-30,1,236,03-Jul,21,59,Jun-30,35,106,04-Jul,7,12,,,
Jun-30,3,138,04-Jul,5,117,Jun-28,1,229,04-Jul,20,58,03-Jul,36,111,05-Jul,7,13,,,
Jun-30,2,137,03-Jul,5,114,Jun-30,51,237,05-Jul,24,61,04-Jul,36,113,06-Jul,7,15,,,
Jun-29,1,135,04-Jul,5,118,Jun-30,50,235,05-Jul,39,116,03-Jul,35,108,07-Jul,16,20,,,
Jun-30,2,137,04-Jul,0,120,Jun-28,1,225,05-Jul,39,119,04-Jul,36,112,07-Jul,7,18,,,
Jun-27,0,131,03-Jul,5,113,Jun-28,1,224,05-Jul,39,118,03-Jul,36,110,10-Jul,16,22,,,
01-Jun,,,03-Jul,5,116,03-Jul,1,240,06-Jul,24,62,04-Jul,40,115,10-Jul,16,21,,,
Jun-27,0,130,03-Jul,5,115,04-Jul,51,242,07-Jul,25,64,04-Jul,39,114,11-Jul,16,23,,,
04-Jul,26,150,05-Jul,19,124,04-Jul,1,243,10-Jul,25,65,06-Jul,39,121,11-Jul,16,24,,,
04-Jul,8,148,05-Jul,19,122,04-Jul,50,249,11-Jul,25,66,06-Jul,41,122,12-Jul,16,27,,,
03-Jul,4,142,05-Jul,0,121,03-Jul,51,238,11-Jul,26,67,06-Jul,42,123,11-Jul,16,25,,,
04-Jul,15,149,05-Jul,19,123,03-Jul,50,239,12-Jul,26,28,07-Jul,42,126,13-Jul,17,32,,,
04-Jul,26,149,06-Jul,19,125,06-Jul,35,253,13-Jul,26,69,07-Jul,41,127,13-Jul,49,31,,,
03-Jul,27,144,06-Jul,19,126,06-Jul,35,250,14-Jul,26,71,07-Jul,41,129,13-Jul,16,28,,,
04-Jul,20,147,07-Jul,0,128,06-Jul,54,252,17-Jul,26,72,07-Jul,41,128,14-Jul,19,34,,,
03-Jul,26,143,07-Jul,19,127,06-Jul,55,251,17-Jul,27,73,10-Jul,44,129,14-Jul,17,33,,,
03-Jul,2,141,10-Jul,19,130,06-Jul,57,256,18-Jul,27,74,10-Jul,44,132,14-Jul,20,35,,,
04-Jul,8,146,10-Jul,36,265,07-Jul,36,262,19-Jul,27,76,10-Jul,41,131,17-Jul,18,37,,,
27-Jun,0,129,10-Jul,58,263,07-Jul,56,257,19-Jul,26,75,10-Jul,41,130,17-Jul,17,36,,,
05-Jul,26,154,10-Jul,35,264,07-Jul,36,259,20-Jul,27,76,11-Jul,45,135,17-Jul,21,38,,,
05-Jul,26,151,10-Jul,19,129,07-Jul,36,260,21-Jul,26,78,11-Jul,46,135,18-Jul,17,40,,,
05-Jul,24,153,10-Jul,19,124,07-Jul,57,258,21-Jul,26,78,11-Jul,49,134,19-Jul,17,43,,,
05-Jul,25,156,10-Jul,36,267,07-Jul,52,261,24-Jul,27,79,12-Jul,46,138,19-Jul,25,45,,,
05-Jul,26,155,10-Jul,58,266,11-Jul,58,271,24-Jul,27,80,12-Jul,48,140,20-Jul,29,48,,,
05-Jul,24,152,10-Jul,36,267,11-Jul,36,269,24-Jul,27,81,12-Jul,47,139,20-Jul,32,49,,,
05-Jul,24,152,11-Jul,43,131,11-Jul,61,270,24-Jul,28,82,12-Jul,45,134,20-Jul,0,46,,,
05-Jul,35,149,12-Jul,43,132,11-Jul,58,268,24-Jul,27,81,13-Jul,48,144,20-Jul,17,47,,,
05-Jul,35,248,12-Jul,1,133,11-Jul,62,270,26-Jul,27,87,13-Jul,46,141.00,21-Jul,32,51,,,
05-Jul,35,244,13-Jul,0,134,12-Jul,36,275,25-Jul,27,83,13-Jul,49,143,21-Jul,29,50,,,
05-Jul,35,246,17-Jul,4,139,12-Jul,46,272,26-Jul,28,83,13-Jul,48,142,24-Jul,29,53,,,
05-Jul,35,2,17-Jul,4,137,12-Jul,58,276,26-Jul,27,82,13-Jul,50,145,25-Jul,24,60,,,
06-Jul,26,157,17-Jul,4,138,12-Jul,58,274,27-Jul,27,88,14-Jul,48,147,26-Jul,29,61,,,
06-Jul,26,162,18-Jul,5,143,12-Jul,61,273,27-Jul,27,84,14-Jul,50,146,26-Jul,25,62,,,
